r_id;s_id;Table1_total_values;Table2_total_values;Distinct_values_T1;Distinct_values_T2;Shared_values;Estimated_mapping_size;Mapping_density_ratio
object_csv_licensed.zip_IA2ComProxy.dll.csv__2060878506__.csv;object_csv_licensed.zip_bcastdvr.proxy.dll.csv__2150601478__.csv;880;946;100;107;82;14801;0.017779406111858544
seek_time_csv_licensed.zip_PL1331LAGRZW3H.csv;seek_time_csv_licensed.zip_PL2331LAGMH50J.csv;14307;15637;1630;1738;858;62619050;0.2799010072293555
quick_time_csv_licensed.zip_funcs_by_name_369.csv;safe_period_csv_licensed.zip_funcs_by_address_47.csv;3174;2938;3050;2824;1393;1424;0.00015270430313005215
parent_csv_licensed.zip_Configuration4_window0_split10_typetest_projectpoi1.5.csv;parent_csv_licensed.zip_poi-1.5_56.csv;5688;5688;963;963;930;1485311;0.045909041117975315
show_time_csv_licensed.zip_quotes.db.csv;then_csv_licensed.zip_phrasebook.csv;840;705;435;470;210;213;0.0003596757852077001
in_time_csv_licensed.zip_weather-2012-07-23_131.csv;in_time_csv_licensed.zip_weather-2012-08-22_156.csv;378;434;152;145;70;4497;0.027412040084851146
id_csv_licensed.zip_ir.model.access_37062.csv;id_csv_licensed.zip_ir.model.access_37125.csv;56;56;21;21;21;494;0.15752551020408162
seek_time_csv_licensed.zip_PL1311LAG2AULH.csv;seek_time_csv_licensed.zip_PL1331LAGTVPPH.csv;12483;12084;1343;1355;604;16512131;0.10946453545574049
parent_csv_licensed.zip_2016-09-21_1.csv;parent_csv_licensed.zip_2016-09-28_1.csv;5863;5566;498;490;312;933252;0.028598011280324628
in_time_csv_licensed.zip_0223_141345_InitializeSampleCC.csv;real_time_csv_licensed.zip_0211_175635_InitializeSampleHD.csv;164;164;143;144;100;161;0.0059860202260559195
show_time_csv_licensed.zip_J01-2004_aakansha_42.csv;then_csv_licensed.zip_J01-2004_aakansha_92.csv;187;187;86;86;83;1960;0.05604964397037376
in_time_csv_licensed.zip_0211_220249_InitializeSampleHD.csv;in_time_csv_licensed.zip_0222_193333_InitializeSampleCC.csv;164;164;145;135;87;94;0.003494943486020226
id_csv_licensed.zip_boxscore_0021400803.csv;id_csv_licensed.zip_boxscore_0021401192.csv;696;754;146;161;57;35931;0.0684681697612732
processing_time_csv_licensed.zip_J01-2004_470.csv;processing_time_csv_licensed.zip_J01-2004_504.csv;187;187;97;97;79;1911;0.054648402871114415
data_rate_csv_licensed.zip_A00-2018_akanksha_6.csv;data_rate_csv_licensed.zip_A00-2018_sweta_188.csv;165;176;76;88;54;1435;0.04941460055096419
id_csv_licensed.zip_items_52.csv;question_time_csv_licensed.zip_MSNBC.201009_2.csv;445;206;121;205;89;301;0.0032835169630195267
processing_time_csv_licensed.zip_P05-1013_aakansha_119.csv;processing_time_csv_licensed.zip_P05-1013_vardha_160.csv;220;220;92;99;69;2416;0.049917355371900826
id_csv_licensed.zip_items_5.csv;real_time_csv_licensed.zip_CNN.201208.csv;100;54;22;54;20;80;0.014814814814814815
id_csv_licensed.zip_0021500882.csv;id_csv_licensed.zip_boxscore_0021500614.csv;725;725;156;155;58;34123;0.06491890606420928
seek_time_csv_licensed.zip_PL1331LAGT91DH.csv;seek_time_csv_licensed.zip_PL2331LAGUKWPJ.csv;12711;11704;1526;1464;867;30187423;0.2029139983113748
in_time_csv_licensed.zip_0209_113041_InitializeSampleHD.csv;real_time_csv_licensed.zip_0210_070519_InitializeSampleHD.csv;164;164;156;138;89;96;0.003569303985722784
parent_csv_licensed.zip_1431412_hhRelMale.csv;parent_csv_licensed.zip_1440507_hhRelMale.csv;90;90;25;23;17;1745;0.2154320987654321
object_csv_licensed.zip_Configuration1_window9_split12_typetypetest_projectpoi2.5.csv;parent_csv_licensed.zip_Configuration1_window11_split4_typetest_projectpoi1.5.csv;6744;5688;1126;963;543;1790725;0.04668224648924793
id_csv_licensed.zip_da-DK_274.csv;id_csv_licensed.zip_da-DK_314.csv;87;90;77;81;68;97;0.012388250319284802
show_time_csv_licensed.zip_W99-0623_vardha_155.csv;then_csv_licensed.zip_W99-0623_swastika_145.csv;198;187;90;74;53;1929;0.052098525360557445
object_csv_licensed.zip_00009-359.csv;object_csv_licensed.zip_00015-337.csv;99;99;38;40;27;702;0.07162534435261708
id_csv_licensed.zip_0021800286.csv;id_csv_licensed.zip_boxscore_0021500092.csv;754;754;158;164;66;44369;0.07804353791274124
id_csv_licensed.zip_0021900824_10.csv;id_csv_licensed.zip_boxscore_0021600056.csv;725;725;162;155;61;33289;0.06333222354340072
real_time_csv_licensed.zip_0201_144203_InitializeSampleHD.csv;real_time_csv_licensed.zip_0222_225303_InitializeSampleCC.csv;164;164;134;157;88;96;0.003569303985722784
seek_time_csv_licensed.zip_PL1331LAGSPWAH.csv;seek_time_csv_licensed.zip_PL2331LAGRWJEJ.csv;12502;14307;1559;1645;1075;51211832;0.2863137732169884
then_csv_licensed.zip_P08-1028_aakansha_196.csv;whole_csv_licensed.zip_P08-1028.annv3_24.csv;187;187;76;86;34;1771;0.05064485687323057
in_time_csv_licensed.zip_0130_173140_InitializeSampleGD_1.csv;in_time_csv_licensed.zip_0201_122231_InitializeSampleHD.csv;164;164;134;136;90;114;0.0042385484830458064
id_csv_licensed.zip_0021601036.csv;id_csv_licensed.zip_0022000491.csv;754;696;156;151;63;36329;0.06922657702978749
in_time_csv_licensed.zip_0201_193401_InitializeSampleRD.csv;in_time_csv_licensed.zip_0212_065736_InitializeSampleHD.csv;164;164;157;144;90;97;0.003606484235574063
id_csv_licensed.zip_StockSharp.Cqg.Continuum_6.csv;id_csv_licensed.zip_StockSharp.OpenECry_1.csv;23;66;4;4;4;1150;0.7575757575757576
id_csv_licensed.zip_halo_85008887979_particle_ID.csv;id_csv_licensed.zip_halo_85012658266_particle_ID.csv;112;74;57;38;14;2085;0.2515685328185328
id_csv_licensed.zip_0021701052.csv;id_csv_licensed.zip_boxscore_0021401076.csv;725;754;167;167;75;38664;0.07072898563980609
id_csv_licensed.zip_0021800054.csv;id_csv_licensed.zip_0022000403.csv;725;754;160;161;59;38299;0.0700612823561694
parent_csv_licensed.zip_A00-2018_akanksha_10.csv;thing_csv_licensed.zip_A00-2018_akanksha_175.csv;165;165;76;76;73;1584;0.05818181818181818
id_csv_licensed.zip_0021700594.csv;id_csv_licensed.zip_boxscore_0021400802.csv;725;754;161;159;61;36246;0.06630568005122107
id_csv_licensed.zip_0021701004_2.csv;id_csv_licensed.zip_0021701081_7.csv;576;667;271;149;37;13954;0.036320381475928705
processing_time_csv_licensed.zip_J01-2004_aakansha_18.csv;rate_of_return_csv_licensed.zip_J01-2004_79.csv;187;187;86;97;62;1894;0.05416225799994281
lead_time_csv_licensed.zip_J01-2004_62.csv;show_time_csv_licensed.zip_J01-2004_swastika_86.csv;187;187;99;75;59;1684;0.048156939003117044
id_csv_licensed.zip_0021500637.csv;id_csv_licensed.zip_0021800022.csv;754;725;158;151;51;10393;0.01901216500503064
seek_time_csv_licensed.zip_PL1331LAGTUBXH.csv;seek_time_csv_licensed.zip_PL2331LAGMA23J.csv;12084;15637;1401;1729;718;53129670;0.2811725798161987
